2026-04-06 16:34:49 - La tarea se está preparando para comenzar.
6 Abr 23:42:41 ✅ ACTUALIZADO MPA: 105.0 a las 13:00:23
6 Abr 23:42:41 ✅ ACTUALIZADO MTC.B: 257.0 a las 12:45:56
6 Abr 23:42:41 ✅ ACTUALIZADO MVZ.A: 6500.0 a las 12:50:19
6 Abr 23:42:41 ✅ ACTUALIZADO MVZ.B: 7494.0 a las 12:52:09
6 Abr 23:42:41 ✅ ACTUALIZADO PCP.B: 449.0 a las 12:52:59
6 Abr 23:42:41 ✅ ACTUALIZADO PGR: 114.0 a las 12:52:37
6 Abr 23:42:41 ✅ ACTUALIZADO PIV.B: 50000.0 a las 12:50:40
6 Abr 23:42:41 ✅ ACTUALIZADO PTN: 650.0 a las 12:50:20
6 de abril 23:42:41 ✅ ACTUALIZADO RST: 568.0 a las 12:51:07
6 abr 23:42:41 ✅ ACTUALIZADO RST.B: 449.0 a las 12:45:51
6 Abr 23:42:41 ✅ ACTUALIZADO SVS: 1293.5 a las 12:45:05
6 Abr 23:42:41 ✅ ACTUALIZADO TDV.D: 810.0 a las 12:51:38
6 Abr 23:42:41 ✅ ACTUALIZADO TPG: 23.8 a las 13:00:23
7 Abr 00:03:24 ✅ ACTUALIZADO IBC: 6126.47 a las 13:03:17
7 Abr 00:03:24 ✅ ACTUALIZADO I.FINANCIACIÓN: 11716.53 a las 13:03:16
7 Abr 00:03:24 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 13:03:17
7 Abr 00:03:24 ✅ ACTUALIZADO ABC.A: 1744.0 a las 13:00:22
7 Abr 00:03:24 ✅ ACTUALIZADO BNC: 1601.0 a las 12:53:54
7 Abr 00:03:24 ✅ ACTUALIZADO BPV: 149.25 a las 13:00:22
7 Abr 00:03:24 ✅ ACTUALIZADO BVCC: 587.0 a las 13:00:22
7 Abr 00:03:24 ✅ ACTUALIZADO BVL: 1677.0 a las 13:00:22
7 Abr 00:03:24 ✅ ACTUALIZADO CCP.B: 500.0 a las 12:53:07
7 Abr 00:03:24 ✅ ACTUALIZADO CCR: 6101.0 a las 12:53:11
7 Abr 00:03:24 ✅ ACTUALIZADO CGQ: 4240.0 a las 12:13:35
7 Abr 00:03:24 ✅ ACTUALIZADO CRM.A: 690.0 a las 12:48:42
7 Abr 00:03:24 ✅ ACTUALIZADO DOM: 820.0 a las 12:30:37
7 Abr 00:03:24 ✅ ACTUALIZADO EFE: 135.0 a las 12:37:18
7 Abr 00:03:24 ✅ ACTUALIZADO ENV: 840.0 a las 12:50:14
7 Abr 00:03:24 ✅ ACTUALIZADO FNC: 1275.0 a las 12:52:36
7 Abr 00:03:24 ✅ ACTUALIZADO FNV: 360.0 a las 12:23:28
7 Abr 00:03:24 ✅ ACTUALIZADO GMC.B: 4250.0 a las 12:37:31
7 Abr 00:03:24 ✅ ACTUALIZADO GZL: 800.0 a las 12:44:58
7 Abr 00:03:24 ✅ ACTUALIZADO ICP.B: 144.0 a las 12:48:55
7 Abr 00:03:24 ✅ ACTUALIZADO IVC.A: 845.0 a las 13:00:22
7 Abr 00:03:24 ✅ ACTUALIZADO IVC.B: 549.8 a las 12:30:10
7 Abr 00:03:24 ✅ ACTUALIZADO MPA: 105.0 a las 13:00:23
7 Abr 00:03:24 ✅ ACTUALIZADO MTC.B: 257.0 a las 12:45:56
7 Abr 00:03:24 ✅ ACTUALIZADO MVZ.A: 6500.0 a las 12:50:19
7 Abr 00:03:24 ✅ ACTUALIZADO MVZ.B: 7494.0 a las 12:52:09
7 Abr 00:03:24 ✅ ACTUALIZADO PCP.B: 449.0 a las 12:52:59
7 Abr 00:03:24 ✅ ACTUALIZADO PGR: 114.0 a las 12:52:37
7 Abr 00:03:24 ✅ ACTUALIZADO PIV.B: 50000.0 a las 12:50:40
7 Abr 00:03:24 ✅ ACTUALIZADO PTN: 650.0 a las 12:50:20
7 Abr 00:03:24 ✅ ACTUALIZADO RST: 568.0 a las 12:51:07
7 Abr 00:03:24 ✅ ACTUALIZADO RST.B: 449.0 a las 12:45:51
7 Abr 00:03:24 ✅ ACTUALIZADO SVS: 1293.5 a las 12:45:05
7 Abr 00:03:24 ✅ ACTUALIZADO TDV.D: 810.0 a las 12:51:38
7 Abr 00:03:24 ✅ ACTUALIZADO TPG: 23.8 a las 13:00:23
7 Abr 12:31:56 ✅ ACTUALIZADO IBC: 6126.47 a las 08:30:02
7 Abr 12:31:56 ✅ ACTUALIZADO I.FINANCIACIÓN: 11716.53 a las 08:30:02
7 Abr 12:31:56 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 08:30:02
7 Abr 12:37:11 ✅ ACTUALIZADO IBC: 6126.47 a las 08:35:02
7 Abr 12:37:11 ✅ ACTUALIZADO I.FINANCIE: 11716.53 a las 08:35:02
7 Abr 12:37:11 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 08:35:02
7 Abr 12:42:16 ✅ ACTUALIZADO IBC: 6126.47 a las 08:40:02
7 Abr 12:42:16 ✅ ACTUALIZADO I.FINANCIACIÓN: 11716.53 a las 08:40:02
7 Abr 12:42:16 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 08:40:02
7 Abr 12:47:25 ✅ ACTUALIZADO IBC: 6126.47 a las 08:45:02
7 Abr 12:47:25 ✅ ACTUALIZADO I.FINANCIE: 11716.53 a las 08:45:02
7 Abr 12:47:25 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 08:45:02
7 Abr 12:52:35 ✅ ACTUALIZADO IBC: 6126.47 a las 08:50:02
7 Abr 12:52:35 ✅ ACTUALIZADO I.FINANCIE: 11716.53 a las 08:50:02
7 Abr 12:52:35 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 08:50:02
7 Abr 12:57:44 ✅ ACTUALIZADO IBC: 6126.47 a las 08:55:02
7 Abr 12:57:44 ✅ ACTUALIZADO I.FINANCIACIÓN: 11716.53 a las 08:55:02
7 Abr 12:57:44 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 08:55:02
7 Abr 13:02:56 ✅ ACTUALIZADO IBC: 6126.47 a las 09:02:48
7 Abr 13:02:56 ✅ ACTUALIZADO I.FINANCIACIÓN: 11716.53 a las 09:02:48
7 Abr 13:02:56 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 09:02:48
7 Abr 13:02:56 ✅ ACTUALIZADO BNC: 1601.0 a las 09:02:48
7 Abr 13:02:56 ✅ ACTUALIZADO EFE: 135.0 a las 09:00:53
7 Abr 13:02:56 ✅ ACTUALIZADO PIV.B: 50000.0 a las 09:00:40
7 Abr 13:08:13 ✅ ACTUALIZADO IBC: 6186.88 a las 09:06:51
7 Abr 13:08:13 ✅ ACTUALIZADO I.FINANCIACIÓN: 11861.19 a las 09:06:51
7 Abr 13:08:13 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 09:06:51
7 Abr 13:08:13 ✅ ACTUALIZADO ABC.A: 1747.5 a las 09:06:08
7 Abr 13:08:13 ✅ ACTUALIZADO BNC: 1601.0 a las 09:06:21
7 Abr 13:08:13 ✅ ACTUALIZADO BPV: 149.25 a las 09:06:34
7 Abr 13:08:13 ✅ ACTUALIZADO BVCC: 615.0 a las 09:06:51
7 Abr 13:08:13 ✅ ACTUALIZADO BVL: 1975.0 a las 09:06:51
7 Abr 13:13:17 ✅ ACTUALIZADO IBC: 6202.76 a las 09:11:17
7 Abr 13:13:17 ✅ ACTUALIZADO I.FINANCIE: 11853.23 a las 09:11:17
7 Abr 13:13:17 ✅ ACTUALIZADO I.INDUSTR: 2536.22 a las 09:11:17
7 Abr 13:13:17 ✅ ACTUALIZADO BPV: 149.0 a las 09:11:17
7 Abr 13:13:17 ✅ ACTUALIZADO BVCC: 615.0 a las 09:10:06
7 Abr 13:13:17 ✅ ACTUALIZADO CCP.B: 549.98 a las 09:09:49
7 Abr 13:13:17 ✅ ACTUALIZADO RST: 600.0 a las 09:10:44
7 Abr 13:13:17 ✅ ACTUALIZADO RST.B: 480.0 a las 09:11:04
7 Abr 13:13:17 ✅ ACTUALIZADO SVS: 1300.0 a las 09:08:49
7 Abr 13:18:26 ✅ ACTUALIZADO IBC: 6199.79 a las 09:18:04
7 Abr 13:18:26 ✅ ACTUALIZADO I.FINANCIACIÓN: 11838.97 a las 09:18:04
7 Abr 13:18:26 ✅ ACTUALIZADO I.INDUSTR: 2542.27 a las 09:18:04
7 Abr 13:18:26 ✅ ACTUALIZADO BPV: 149.0 a las 09:16:27
7 Abr 13:18:26 ✅ ACTUALIZADO BVCC: 593.0 a las 09:16:27
7 Abr 13:18:26 ✅ ACTUALIZADO CCP.B: 549.98 a las 09:18:22
7 Abr 13:18:26 ✅ ACTUALIZADO CCR: 4881.0 a las 09:16:35
7 Abr 13:18:26 ✅ ACTUALIZADO CGQ: 4240.0 a las 09:16:42
7 Abr 13:18:26 ✅ ACTUALIZADO CRM.A: 689.99 a las 09:16:51
7 Abr 13:18:26 ✅ ACTUALIZADO DOM: 819.5 a las 09:17:01
7 Abr 13:18:26 ✅ ACTUALIZADO EFE: 135.0 a las 09:17:03
7 Abr 13:18:26 ✅ ACTUALIZADO ENV: 847.99 a las 09:18:03
7 Abr 13:18:26 ✅ ACTUALIZADO FNC: 1275.0 a las 09:18:04
7 Abr 13:18:26 ✅ ACTUALIZADO FNV: 370.0 a las 09:18:04
7 Abr 13:18:26 ✅ ACTUALIZADO ICP.B: 144.0 a las 09:14:43
7 Abr 13:18:26 ✅ ACTUALIZADO MPA: 110.0 a las 09:15:14
7 Abr 13:18:26 ✅ ACTUALIZADO RST: 600.0 a las 09:16:10
7 Abr 13:23:35 ✅ ACTUALIZADO IBC: 6273.23 a las 09:22:51
7 Abr 13:23:35 ✅ ACTUALIZADO I.FINANCIACIÓN: 12115.86 a las 09:22:51
7 Abr 13:23:35 ✅ ACTUALIZADO I.INDUSTR: 2456.86 a las 09:22:51
7 Abr 13:23:35 ✅ ACTUALIZADO BPV: 149.0 a las 09:18:38
7 Abr 13:23:35 ✅ ACTUALIZADO FNC: 1275.0 a las 09:23:04
7 Abr 13:23:35 ✅ ACTUALIZADO GZL: 795.0 a las 09:18:27
7 Abr 13:23:35 ✅ ACTUALIZADO ICP.B: 144.0 a las 09:18:39
7 Abr 13:23:35 ✅ ACTUALIZADO IVC.A: 998.0 a las 09:18:56
7 Abr 13:23:35 ✅ ACTUALIZADO MPA: 110.0 a las 09:19:54
7 Abr 13:23:35 ✅ ACTUALIZADO MTC.B: 308.0 a las 09:19:14
7 Abr 13:23:35 ✅ ACTUALIZADO MVZ.A: 7500.0 a las 09:19:23
7 Abr 13:23:35 ✅ ACTUALIZADO MVZ.B: 7494.0 a las 09:22:18
7 Abr 13:23:35 ✅ ACTUALIZADO PCP.B: 449.0 a las 09:21:21
7 Abr 13:23:35 ✅ ACTUALIZADO PGR: 110.5 a las 09:19:55
7 Abr 13:23:35 ✅ ACTUALIZADO PTN: 690.0 a las 09:19:55
7 Abr 13:23:35 ✅ ACTUALIZADO RST: 570.0 a las 09:19:56
7 Abr 13:23:35 ✅ ACTUALIZADO RST.B: 449.0 a las 09:22:50
7 Abr 13:23:35 ✅ ACTUALIZADO SVS: 1050.0 a las 09:19:56
7 Abr 13:23:35 ✅ ACTUALIZADO TDV.D: 900.0 a las 09:19:56
7 Abr 13:23:35 ✅ ACTUALIZADO TPG: 21.95 a las 09:23:27
7 Abr 13:28:40 ✅ ACTUALIZADO IBC: 6179.94 a las 09:28:38
7 Abr 13:28:40 ✅ ACTUALIZADO I.FINANCIE: 11853.23 a las 09:28:38
7 Abr 13:28:40 ✅ ACTUALIZADO I.INDUSTR: 2490.02 a las 09:28:38
7 Abr 13:28:40 ✅ ACTUALIZADO BPV: 149.0 a las 09:26:20
7 Abr 13:28:40 ✅ ACTUALIZADO BVCC: 615.0 a las 09:25:59
7 abr 13:28:40 ✅ ACTUALIZADO EFE: 135.0 a las 09:26:33
7 Abr 13:28:40 ✅ ACTUALIZADO MPA: 109.0 a las 09:28:38
7 Abr 13:28:40 ✅ ACTUALIZADO MVZ.A: 6500.0 a las 09:23:57
7 Abr 13:28:40 ✅ ACTUALIZADO PGR: 120.0 a las 09:27:10
7 Abr 13:28:40 ✅ ACTUALIZADO RST: 599.0 a las 09:28:38
7 Abr 13:28:40 ✅ ACTUALIZADO RST.B: 480.0 a las 09:25:59
7 Abr 13:28:40 ✅ ACTUALIZADO TPG: 21.95 a las 09:26:50
7 Abr 13:33:54 ✅ ACTUALIZADO IBC: 6147.86 a las 09:31:30
7 Abr 13:33:54 ✅ ACTUALIZADO I.FINANCIE: 11821.4 a las 09:31:30
7 Abr 13:33:54 ✅ ACTUALIZADO I.INDUSTR: 2452.0 a las 09:31:30
7 Abr 13:33:54 ✅ ACTUALIZADO BNC: 1601.0 a las 09:30:15
7 Abr 13:33:54 ✅ ACTUALIZADO BPV: 148.0 a las 09:30:29
7 Abr 13:33:54 ✅ ACTUALIZADO BVCC: 615.0 a las 09:29:56
7 Abr 13:33:54 ✅ ACTUALIZADO DOM: 819.5 a las 09:29:56
7 Abr 13:33:54 ✅ ACTUALIZADO ICP.B: 144.0 a las 09:30:11
7 Abr 13:33:54 ✅ ACTUALIZADO IVC.A: 998.0 a las 09:32:12
7 Abr 13:33:54 ✅ ACTUALIZADO MPA: 100.0 a las 09:31:12
7 Abr 13:33:54 ✅ ACTUALIZADO RST: 568.0 a las 09:31:30
7 Abr 13:33:54 ✅ ACTUALIZADO TPG: 21.95 a las 09:29:51
7 Abr 13:39:03 ✅ ACTUALIZADO IBC: 6140.19 a las 09:38:39
7 Abr 13:39:03 ✅ ACTUALIZADO I.FINANCIE: 11807.14 a las 09:38:39
7 Abr 13:39:03 ✅ ACTUALIZADO I.INDUSTR: 2448.52 a las 09:38:39
7 Abr 13:39:03 ✅ ACTUALIZADO BNC: 1601.0 a las 09:38:05
7 Abr 13:39:03 ✅ ACTUALIZADO BPV: 148.0 a las 09:38:39
7 Abr 13:39:03 ✅ ACTUALIZADO BVCC: 593.0 a las 09:38:05
7 Abr 13:39:03 ✅ ACTUALIZADO CCR: 6800.0 a las 09:37:31
7 Abr 13:39:03 ✅ ACTUALIZADO CRM.A: 689.0 a las 09:38:05
7 Abr 13:39:03 ✅ ACTUALIZADO EFE: 158.0 a las 09:38:05
7 Abr 13:39:03 ✅ ACTUALIZADO MPA: 100.0 a las 09:38:05
7 Abr 13:39:03 ✅ ACTUALIZADO MTC.B: 308.0 a las 09:34:25
