Fecha,Hora_Log,TKR,Precio,Hora_BVC
7 Abr,14:10:06,IBC:,6049.59,10:10:02
7 Abr,14:10:06,I.FINANCIE:,11611.09,10:10:02
7 Abr,14:10:06,I.INDUSTR:,2430.84,10:10:03
7 Abr,14:10:06,ABC.A:,1743.5,10:09:31
7 Abr,14:10:06,BNC:,1580.0,10:09:32
7 Abr,14:10:06,BPV:,145.0,10:09:32
7 Abr,14:10:06,BVCC:,614.0,10:09:32
7 Abr,14:10:06,CCR:,6800.0,10:09:32
7 Abr,14:10:06,CGQ:,3395.0,10:09:33
7 Abr,14:10:06,CRM.A:,688.0,10:09:33
7 Abr,14:10:06,DOM:,876.55,10:09:33
7 Abr,14:10:06,EFE:,158.0,10:09:35
7 Abr,14:10:06,ENV:,805.99,10:09:35
7 Abr,14:10:06,FNV:,399.0,10:07:16
7 Abr,14:10:06,ICP.B:,144.0,10:09:36
7 Abr,14:10:06,IVC.A:,865.01,10:06:02
7 Abr,14:10:06,PCP.B:,448.99,10:09:37
7 Abr,14:10:06,PGR:,120.0,10:09:45
7 Abr,14:10:06,PTN:,680.0,10:08:14
7 Abr,14:10:06,RST:,568.0,10:09:40
7 Abr,14:10:06,RST.B:,449.0,10:09:40
7 Abr,14:10:06,TPG:,21.03,10:09:44
7 Abr,14:15:19,IBC:,6035.66,10:15:02
7 Abr,14:15:19,I.FINANCIACIÓN:,11579.61,10:15:02
7 Abr,14:15:19,I.INDUSTR:,2429.27,10:15:02
7 Abr,14:15:19,BNC:,1580.0,10:10:34
7 Abr,14:15:19,BPV:,145.0,10:14:37
7 Abr,14:15:19,BVCC:,614.0,10:10:47
7 Abr,14:15:19,BVL:,1900.0,10:11:23
7 Abr,14:15:19,CCP.B:,549.0,10:13:45
7 Abr,14:15:19,CRM.A:,688.0,10:13:45
7 abr,14:15:19,EFE:,158.0,10:10:07
7 Abr,14:15:19,ENV:,847.99,10:10:08
7 Abr,14:15:19,ICP.B:,144.0,10:13:45
7 Abr,14:15:19,IVC.B:,585.0,10:10:55
7 Abr,14:15:19,MPA:,99.0,10:13:22
7 Abr,14:15:19,MTC.B:,308.0,10:13:33
7 Abr,14:15:19,PCP.B:,380.0,10:12:37
7 Abr,14:15:19,RST.B:,449.0,10:13:45
7 Abr,14:15:19,SVS:,1052.0,10:10:09
7 Abr,14:15:19,TDV.D:,810.0,10:12:11
7 Abr,14:15:19,TPG:,21.9,10:14:27
7 Abr,14:20:32,IBC:,6014.4,10:20:28
7 Abr,14:20:32,I.FINANCIACIÓN:,11528.19,10:20:28
